date,Firm,Sample,Turnout,psoe,pp,vox,sumar,erc,jxcat20,pnc,bildu,cup,cc,bng,nap,emp,Lead,podemos,cs,ccnc,prc,upodemos,mas
2023-04-14,ElectoPanel/Electomanía[39],2723,NA,24.6,31.8,14.6,14.3,2.4,1.9,1.7,1.3,0.8,NA,0.7,0.3,0.2,7.2,[a],2.61,0.50,0.21,NA,NA
2023-04-14,ElectoPanel/Electomanía[39],2723,NA,25.8,31,14.5,9.1,2.5,2,1.7,1.3,0.8,NA,0.7,0.3,0.2,5.2,4.73,2.61,0.52,0.21,NA,NA
2023-04-13,Hamalgama Métrica/VozPópuli[40][41],1000,NA,22.1,32.2,15.6,9.2,3.4,2.1,1.6,1.2,0.8,NA,0.7,0.2,0.1,10.1,5.66,1.50,0.52,0.21,NA,NA
2023-04-12,Simple Lógica/elDiario.es[42],1014,65.3,26.2,28.1,15.4,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,6.3,2.0,NA,NA,NA,NA
2023-04-08,SocioMétrica/El Español[43],900,NA,23.7,31,15.3,7.6,2.5,1.8,1.2,1.1,0.7,NA,0.6,0.3,0.7,7.3,8.018,2.50,0.41,0.10,NA,NA
2023-04-07,ElectoPanel/Electomanía[44],2314,NA,24,32.2,14.5,14.3,2.4,2,1.7,1.3,0.8,NA,0.7,0.3,0.2,8.2,[a],2.71,0.61,0.21,NA,NA
2023-04-07,ElectoPanel/Electomanía[44],2314,NA,24.6,31.7,14.5,9.1,2.4,2,1.7,1.3,0.8,NA,0.7,0.3,0.2,7.1,5.04,2.71,0.62,0.21,NA,NA
2023-04-06,NC Report/La Razón[45],1000,65.9,21.9,33.1,13.8,11.8,3.1,NA,NA,NA,NA,NA,NA,NA,NA,11.2,5.13/5,1.70,NA,NA,NA,NA
2023-04-05,Sigma Dos/El Mundo[46],1755,NA,22.8,30.5,13.9,16.3,3.4,2.5,1.5,0.9,NA,NA,NA,NA,NA,7.7,[a],2.00,NA,NA,NA,NA
2023-04-05,Sigma Dos/El Mundo[46],1755,NA,22.7,30.2,13.9,12.3,3.4,2.5,1.5,0.9,NA,NA,NA,NA,NA,7.5,5.58,2.00,NA,NA,NA,NA
2023-04-05,CIS[47][48],4159,NA,30.4,26.1,11.1,10.6,2.1,0.9,1.2,1,0.6,NA,0.5,0.1,0.1,4.3,6.7,2.8,0.3,0.1,NA,NA
2023-04-02,Data10/OKDiario[49][50],1500,NA,NA,32.3,15.4,30.4,3,NA,NA,NA,NA,NA,NA,NA,NA,1.9,8.015,NA,NA,NA,NA,NA
2023-04-02,Data10/OKDiario[49][50],1500,NA,20.7,32.1,15.5,18,2.9,NA,NA,NA,NA,NA,NA,NA,NA,11.4,[a],NA,NA,NA,NA,NA
2023-04-02,Data10/OKDiario[49][50],1500,NA,22.7,31.9,15.3,8.4,2.9,NA,NA,NA,NA,NA,NA,NA,NA,9.2,7.112,NA,NA,NA,NA,NA
2022-03-30,ElectoPanel/Electomanía[51],NA,NA,25.9,31.7,14.5,NA,2.4,2,1.7,1.3,0.8,NA,0.7,0.3,0.2,5.8,NA,2.71,0.61,0.21,11.028,1.94
2022-03-27,40dB/Prisa[52][53],2000,NA,27.4,28,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,2.91,?2,?1,11.830/33,3.23
2022-03-24,DYM/Henneo[54],1008,NA,28.2,30.7,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,NA,2.20/1,NA,NA,9.418/21,2.82/3
2022-03-24,GAD3/ABC[55][56],1011,65,27.6,32.4,14.9,NA,2.3,1.9,1.2,1,0.7,NA,0.6,0.2,0.1,4.8,NA,1.70,0.51,0.21,8.918/20,1.62
2022-03-24,InvyMark/laSexta[57],NA,NA,27.8,30.4,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,0.9,NA,NA,9.8,3.1
2022-03-24,GAD3/PP[58],2500,NA,26.7,33.8,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,8.320,NA
2022-03-23,KeyData/Público[59],NA,68.8,25.8,31.4,14.7,NA,3.3,2,1.5,1.1,1,NA,NA,NA,NA,5.6,NA,1.90,NA,NA,10.526,1.63
2022-03-23,Data10/OKDiario[60],1500,NA,25.3,31.8,15.4,NA,3,2,1.6,1.5,0.8,NA,0.8,0.2,0.1,8.3,NA,1.90,0.51,0.21,10.124,2.73
2022-03-22,ElectoPanel/Electomanía[61],1119,NA,25.4,32.1,14.4,NA,2.4,2.1,1.6,1.3,0.8,NA,0.7,0.3,0.2,6.7,NA,2.61,0.62,0.31,11.229,1.84
2022-03-17,ElectoPanel/Electomanía[62],1138,NA,24.6,32.7,14.9,NA,2.4,2,1.6,1.3,0.8,NA,0.7,0.4,0.3,8.1,NA,2.61,0.62,0.21,11.329,1.74
2022-03-11,CIS (SocioMétrica)[b][63],3788,60,28.6,31.9,15.1,NA,2.5,1.3,1.4,0.9,0.6,NA,0.6,0.1,0.3,3.3,NA,2.6,0.8,0.0,8.8,2.0
2022-03-11,CIS[64][65],3788,NA,32.7,28,10.1,NA,2.5,1.1,1.1,0.7,0.5,NA,0.7,0.3,0.1,4.7,NA,2.4,0.4,0.1,10.0,1.4
2022-03-10,ElectoPanel/Electomanía[66],1007,NA,24.8,32.5,15,NA,2.4,2,1.5,1.3,0.8,NA,0.8,0.3,0.3,7.7,NA,2.61,0.61,0.21,11.329,1.74
2022-03-10,InvyMark/laSexta[67],NA,NA,27.3,30.7,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,0.8,NA,NA,9.2,3.3
