date,Firm,Sample,Turnout,People%27s_Party_(Spain),Spanish_Socialist_Workers%27_Party,Popular_Unity_(Spain),"Union,_Progress_and_Democracy",Convergence_and_Union,EH_Bildu,Basque_Nationalist_Party,Republican_Left_of_Catalonia%E2%80%93Catalonia_Yes,Galician_Nationalist_Bloc,Canarian_Coalition,Coalici%C3%B3_Comprom%C3%ADs,Citizens_(Spanish_political_party),Podemos_(Spanish_political_party),Democratic_Convergence_of_Catalonia,Democracy_and_Freedom,"Plural_Left_(Spain,_2011)",Lead,Amaiur
2014-12-04,Sigma Dos/Mediaset[327],1000,NA,26.5,19.6,NA,4.4,2.6,NA,1,2.6,NA,NA,NA,2.4,29.1,NA,NA,4.8,2.6,NA
2014-12-03,Metroscopia/El País[328][329],1000,73,20,27.7,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,5.6,2.7,NA
2014-11-19,Sigma Dos/El Mundo[330][331],1000,NA,26.3,20.1,NA,4.5,3,1,1.1,2.8,NA,NA,NA,2.5,28.3,NA,NA,4.2,2.0,NA
2014-11-14,JM&A[332],NA,66.9,27.7,22,NA,4,2.9,1,1,2.6,0.3,0.4,0.6,2.6,22,NA,NA,5.510,5.7,NA
2014-11-14,InvyMark/laSexta[333][334],NA,NA,26,21.6,NA,5.8,2.9,NA,NA,3.2,NA,NA,NA,2.3,24.7,NA,NA,5.0,1.3,NA
2014-11-12,Simple Lógica[301],1030,NA,25,18.2,NA,4.7,2.3,NA,0.7,NA,NA,NA,NA,NA,31.1,NA,NA,3.6,6.1,NA
2014-11-07,Celeste-Tel/eldiario.es[335][336],1100,61.6,30.5,24.5,NA,3.2,1.8,1,1,2.2,0.6,0.6,0.6,4,21.6,NA,NA,4.411/12,6.0,NA
2014-11-06,DYM/El Confidencial[337],985,NA,26.9,19.5,NA,3.2,NA,NA,NA,NA,NA,NA,NA,5.6,26.3,NA,NA,7.3,0.6,NA
2014-10-31,Llorente & Cuenca[338],NA,NA,25.1,22.6,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,8.7,2.5,NA
2014-10-31,InvyMark/laSexta[339][340][341],NA,NA,26.4,20.5,NA,6,2.6,NA,NA,3.4,NA,NA,NA,NA,22.7,NA,NA,5.4,3.7,NA
2014-10-29,Metroscopia/El País[342][343],1000,70.5,20.7,26.2,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,27.7,NA,NA,3.8,1.5,NA
2014-10-25,Asturbarómetro/ICNdiario[344][345],402,NA,29.5,23.9,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,5.8,5.6,NA
2014-10-17,InvyMark/laSexta[346][347][348],NA,NA,28.2,21.4,NA,6.2,2.7,NA,1.2,3.4,NA,NA,NA,NA,18.6,NA,NA,6.9,6.8,NA
2014-10-16,Sigma Dos/Mediaset[349][350],1100,NA,28.3,23.7,NA,3.7,2.5,NA,1.2,2.6,NA,NA,NA,1.8,24.1,NA,NA,5.2,3.7,NA
2014-10-13,CIS[351][352][353],2480,NA,27.5,23.9,NA,4.1,3.8,0.9,1,2.3,0.4,0.3,1.1,2.1,22.5,NA,NA,4.86,3.6,NA
2014-10-12,Intercampo/GETS[354],1724,60,21,32.5,NA,2.5,1.25,NA,1.4500000000000002,3,NA,NA,NA,NA,22.5,NA,NA,6.0–9.0,10.0,NA
2014-10-10,Simple Lógica[301],NA,NA,29.7,24.6,NA,4.2,1.3,NA,1.1,NA,NA,NA,NA,NA,23.3,NA,NA,3.5,5.1,NA
2014-10-09,JM&A[332],NA,60.4,32.6,21.6,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,16.4,NA,NA,5.59,11.0,NA
2014-10-07,Celeste-Tel/eldiario.es[355][356],1100,61.7,32.6,25.4,NA,3.4,2.3,1,1,1.9,0.6,0.6,0.7,3.6,17.1,NA,NA,5.413/15,7.2,NA
2014-10-03,InvyMark/laSexta[357][358][359],NA,NA,28.6,20.9,NA,6.1,2.8,NA,1.2,3.3,NA,NA,NA,NA,17.9,NA,NA,7.1,7.7,NA
2014-09-30,Metroscopia/El País[360][361],1000,70,30.2,30.9,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,13.8,NA,NA,5.2,0.7,NA
2014-09-26,Demoscopia Servicios/esRadio[362][363],NA,NA,32.7,24.2,NA,4.3,NA,NA,NA,NA,NA,NA,NA,3.1,20.4,NA,NA,5.212,4.0,NA
2014-09-19,InvyMark/laSexta[364][365][366],NA,NA,29.2,20.7,NA,6,2.8,NA,1.2,3.4,NA,NA,NA,NA,17.6,NA,NA,7.4,8.5,NA
2014-09-12,NC Report[367],955,NA,34.2,23.3,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA,5.8,10.9,NA
2014-09-12,Simple Lógica[301],NA,NA,32.8,20,NA,5.7,1.7,NA,1,NA,NA,NA,NA,NA,23.1,NA,NA,5.5,9.7,NA
2014-09-05,Celeste-Tel[368],1100,60.1,33.1,24.5,NA,4,2.5,1.1,1,2,0.6,0.6,0.9,3.7,16.1,NA,NA,4.711/14,8.6,NA
2014-08-30,NC Report/La Razón[369][370],900,61.3,33.9,23.4,NA,4.4,2.8,1.2,1.3,2.2,0.6,1,0.9,2.6,15,NA,NA,5.69/13,10.5,NA
2014-08-28,Sigma Dos/El Mundo[371][372],1000,NA,30.1,22.3,NA,5.6,3,1,1,3.3,NA,NA,NA,NA,21.2,NA,NA,4.1,7.8,NA
2014-08-08,Simple Lógica[301],1053,NA,29.4,16.7,NA,5.4,1.4,NA,0.8,NA,NA,NA,NA,NA,28.4,NA,NA,4.1,1.0,NA
2014-07-24,Celeste-Tel/eldiario.es[373][374],1100,59.4,33.8,24.1,NA,4.7,2.9,1.1,1.1,1.8,0.7,0.6,0.9,3.7,13.7,NA,NA,5.011/15,9.7,NA
2014-07-24,Metroscopia/El País[375][376],1200,71,32.3,31.7,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,4.9,0.6,NA
2014-07-18,InvyMark/laSexta[377],NA,NA,26.4,22.7,NA,7.5,NA,NA,NA,NA,NA,NA,NA,3.1,12.1,NA,NA,11.2,3.7,NA
2014-07-11,InvyMark/laSexta[377],NA,NA,26.5,22.4,NA,7.3,NA,NA,NA,NA,NA,NA,NA,3,11.8,NA,NA,11.3,4.1,NA
2014-07-09,CIS[378][379][380],2471,NA,30,21.2,NA,5.9,2.9,1,1,3.3,0.5,0.3,1.4,0.9,15.3,NA,NA,8.215,8.8,NA
2014-07-08,Simple Lógica[301],1112,NA,29,15.1,NA,7.9,1.1,NA,1.6,NA,NA,NA,NA,NA,27.1,NA,NA,6.2,1.9,NA
2014-07-05,Demoscopia Servicios/esRadio[381],NA,NA,30,26,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,7.0,4.0,NA
2014-07-05,Celeste-Tel/eldiario.es[382][383],1100,58.8,33.5,23.2,NA,4.9,3,1.1,1.1,1.7,0.6,0.6,0.8,3.7,14.1,NA,NA,5.112/15,10.3,NA
2014-06-14,Simple Lógica[301],1035,NA,28.8,14.7,NA,6.4,2.4,NA,1.6,NA,NA,NA,NA,NA,26.7,NA,NA,6.0,2.1,NA
2014-06-11,NC Report[384],955,NA,34.6,21.9,NA,5.3,NA,NA,NA,NA,NA,NA,NA,NA,16.3,NA,NA,6.1,12.7,NA
2014-06-06,Celeste-Tel/eldiario.es[385][386],1100,57.9,32.4,22.3,NA,5.7,3,1.2,1.1,1.9,0.6,0.6,0.9,3.7,13.9,NA,NA,5.613/15,10.1,NA
2014-05-31,GESOP/El Periódico[387][388],1000,NA,25.6,19.4,NA,7.8,3.4,NA,NA,3.3,NA,NA,NA,3.5,15.1,NA,NA,8.115/17,6.2,NA
2014-05-25,2014 EP election[389],NA,43.8,26.1,23,NA,6.5,3.5,1.4,1.4,3.8,0.5,0.4,0.9,3.2,8,NA,NA,10.0(25),3.1,NA
