date,Firm,Sample,Turnout,Spanish_Socialist_Workers%27_Party,People%27s_Party_(Spain),Vox_(political_party),Unidas_Podemos,Citizens_(Spanish_political_party),Republican_Left_of_Catalonia%E2%80%93Sovereigntists,M%C3%A1s_Pa%C3%ADs,Together_for_Catalonia_(2020),Basque_Nationalist_Party,EH_Bildu,Popular_Unity_Candidacy,Canarian_Coalition%E2%80%93New_Canaries,Galician_Nationalist_Bloc,Navarra_Suma,Regionalist_Party_of_Cantabria,Teruel_Existe,Lead,Together_for_Catalonia_(2017)
2021-10-15,NC Report/La Razón[77][78],1000,63.3,25.4,29.6,15.1,9.6,2.7,3.4,3.2,2.2,1.7,1.1,NA,NA,NA,0.4,NA,NA,4.2,NA
2021-10-15,InvyMark/laSexta[79],NA,NA,25.7,28.4,16.6,9,1.5,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA
2021-10-15,ElectoPanel/Electomanía[80],1863,NA,26.2,28.2,16.7,10.4,2.9,3.2,3,2.2,1.6,1.1,0.9,0.5,0.7,0.4,0.3,0.1,2.0,NA
2021-10-15,Simple Lógica[81],1056,64.5,23.8,25.5,17.6,12.4,4,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,NA
2021-10-14,GAD3/ABC[82][83],1001,75,26.2,29.2,15.4,10.1,2.8,3,2.4,2,1.7,1.2,0.9,0.5,0.7,0.4,0.2,0.1,3.0,NA
2021-10-13,CIS[84][85][86],3660,NA,28.5,22.1,13.2,11.8,6,3.1,3,1.6,1.3,0.7,0.9,0.4,0.5,0.4,0.1,0.1,6.4,NA
2021-10-11,Sigma Dos/Antena 3[87],NA,NA,25.1,28.5,14.6,11.1,3.3,3.1,3.4,2,1.9,NA,NA,NA,NA,NA,NA,NA,3.4,NA
2021-10-10,Metroscopia[66],NA,NA,26.6,26.2,17,10,2.5,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA
2021-10-08,ElectoPanel/Electomanía[88],2119,NA,26.6,28,16.9,10,2.8,3.3,2.8,2.2,1.5,1.1,0.9,0.5,0.6,0.4,0.2,0.1,1.4,NA
2021-10-08,IMOP/El Confidencial[89],1317,NA,25.8,26.8,16.8,10.8,2.6,3.2,4.1,2,1.5,1,0.9,0.5,0.9,0.4,0.3,0.1,1.0,NA
2021-10-07,Data10/OKDiario[90],1000,NA,24.9,29,16,9.8,2.8,3.3,4.2,2.3,1.6,1.1,0.8,0.4,0.7,0.4,0.3,0.1,4.1,NA
2021-10-07,SocioMétrica/El Español[91][92],1200,NA,25,27.2,16.3,11.4,4.3,3,3.5,2.1,1.2,1.1,0.9,0.5,0.5,0.4,0.3,0.1,2.2,NA
2021-10-06,Hamalgama Métrica/VozPópuli[93][94],1000,65.7,26.2,28.7,15.9,10.1,2.7,3.3,3.6,2.3,1.5,1.1,0.9,0.5,0.6,0.4,0.2,0.1,2.5,NA
2021-10-01,ElectoPanel/Electomanía[95],1193,NA,26.7,27.5,17,10.2,3,3.4,3,2.3,1.6,1.1,0.9,0.5,0.6,0.4,0.2,0.1,0.8,NA
2021-09-27,Ágora Integral/Canarias Ahora[96][97],1000,61.9,26.1,26.3,15.4,11.5,3.2,3.5,3.7,2.3,1.9,1.2,1,0.4,0.5,NA,0.3,0.1,0.2,NA
2021-09-24,ElectoPanel/Electomanía[98],1651,NA,27.2,27.5,16.5,10.1,3.2,3.3,3.1,2.3,1.6,1.1,0.9,0.5,0.6,0.4,0.3,0.1,0.3,NA
2021-09-24,IMOP/El Confidencial[99],1304,NA,26.1,26.6,17,10.9,2.6,3.1,3.8,2.1,1.6,1.1,1,0.5,0.6,0.4,0.3,0.1,0.5,NA
2021-09-23,KeyData/Público[100],NA,64.2,26,28,15.5,10.2,3,3.6,3.6,2.2,1.6,1.1,1.1,0.6,NA,NA,NA,NA,2.0,NA
